Artist,Listeners,Daily +/-,Peak,PkListeners
Mc Rodrigo do CN,"17,572,076","23,167",508,"17,572,076"
GloRilla,"17,540,411","-13,727",166,"28,822,517"
Foster The People,"17,445,283","-4,188",313,"22,182,297"
League of Legends,"17,410,083","30,318",226,"26,494,221"
Topic,"17,403,233","-46,754",317,"22,576,619"
Julieta Venegas,"17,393,172","-13,196",376,"19,459,228"
Alemán,"17,379,753","-68,434",268,"23,547,346"
Lenny Tavárez,"17,353,642","-21,451",278,"22,544,589"
Carly Rae Jepsen,"17,290,692","14,112",317,"18,869,973"
Eurythmics,"17,241,021","115,747",364,"19,541,941"
Deftones,"17,164,550","16,526",451,"18,168,600"
Neha Kakkar,"17,144,974","20,146",397,"18,678,926"
Tones And I,"17,135,999","140,315",416,"17,135,999"
Chino Pacas,"17,132,448","-21,004",267,"21,601,531"
Train,"17,103,799","-55,181",171,"29,211,060"
Arslan Nizami,"17,092,177","-70,265",250,"25,758,828"
Julión Álvarez y su Norteño Banda,"17,086,591","60,308",397,"18,790,693"
Christina Perri,"17,065,635","56,272",424,"17,478,522"
Kacey Musgraves,"17,048,665","51,396",182,"27,365,334"
Danger Mouse,"17,033,344","-64,257",523,"17,141,937"
Guru Randhawa,"17,031,991","-52,284",524,"17,128,875"
Ruth B.,"17,029,567","-7,843",224,"23,065,545"
Stromae,"17,026,302","2,261",249,"25,659,827"
The Walters,"17,008,650","-53,448",371,"19,385,847"
Kailash Kher,"16,992,075","4,211",532,"16,992,075"
Jeet Gannguli,"16,985,356","-91,577",491,"17,785,105"
Felix Jaehn,"16,971,029","-1,437",194,"24,535,929"
John Mayer,"16,952,652","-90,323",327,"19,806,976"
A Boogie Wit da Hoodie,"16,918,822","15,493",213,"22,882,543"
Jaani,"16,899,527","9,783",319,"21,270,757"
Maria Becerra,"16,897,975","-31,085",159,"26,919,900"
Darell,"16,870,895","-50,850",238,"22,214,709"
Michael Bublé,"16,862,117","24,504",13,"73,651,203"
Yan Block,"16,831,722","33,125",510,"17,156,592"
Noriel,"16,826,303","17,066",542,"16,826,303"
Roxette,"16,798,023","-14,910",453,"17,854,254"
Cage The Elephant,"16,795,560","-49,988",401,"18,343,382"
Hariharan,"16,778,291","-11,598",538,"16,824,162"
Lin-Manuel Miranda,"16,768,600","23,239",461,"16,968,839"
Lynyrd Skynyrd,"16,765,688","-3,644",324,"22,503,741"
Little Mix,"16,763,915","-18,737",287,"19,963,380"
Artemas,"16,757,699","11,220",43,"53,546,898"
Armaan Malik,"16,749,046","-16,461",381,"16,815,724"
Eladio Carrion,"16,743,262","22,530",156,"26,738,598"
Gym Class Heroes,"16,736,658","128,851",441,"16,736,658"
Gotye,"16,708,558","-4,286",367,"18,956,932"
Kelly Rowland,"16,701,269","26,098",554,"16,701,269"
Asees Kaur,"16,624,841","-111,059",420,"17,605,775"
Divya Kumar,"16,617,824","-18,680",405,"18,610,694"
Jonita Gandhi,"16,605,681","-2,368",337,"18,322,100"
MGMT,"16,594,517","-20,601",394,"19,657,512"
Gabry Ponte,"16,572,448","-55,669",350,"20,812,009"
La Arrolladora Banda El Limón De Rene Camacho,"16,521,671","10,950",560,"16,521,671"
Piso 21,"16,520,564","8,036",303,"20,327,383"
ATLXS,"16,512,965","-66,181",318,"22,084,739"
Dj Samir,"16,506,971","32,652",563,"16,506,971"
Pamungkas,"16,475,428","1,769",561,"16,552,820"
NIKI,"16,457,788","-37,538",288,"23,598,735"
Roop Kumar Rathod,"16,457,384","-19,326",553,"16,597,389"
Los Dareyes De La Sierra,"16,454,724","-12,653",518,"17,094,913"
Alphaville,"16,442,735","-29,455",271,"22,723,241"
Sayfalse,"16,439,667","55,363",569,"16,439,667"
bbno$,"16,429,299","64,167",570,"16,429,299"
CYRIL,"16,418,388","-37,255",227,"25,127,423"
Nicki Nicole,"16,398,180","-6,801",173,"27,818,511"
Jung Kook,"16,395,394","-27,717",61,"40,791,781"
Ajay-Atul,"16,369,908","-21,731",526,"16,807,364"
Chayanne,"16,363,743","-51,909",474,"17,052,708"
Paulo Londra,"16,327,716","-51,823",401,"18,776,585"
Billy Idol,"16,326,054","43,044",577,"16,326,054"
Jatin-Lalit,"16,309,314","12,942",550,"16,685,457"
Elley Duhé,"16,303,912",1,150,"25,586,962"
Gesaffelstein,"16,271,350","11,847",273,"19,186,476"
Simone Mendes,"16,258,723","5,028",535,"16,258,723"
Devi Sri Prasad,"16,245,990","-63,700",350,"20,167,765"
Ray Dalton,"16,200,469","-131,347",277,"22,437,225"
Dave,"16,198,980","245,373",135,"29,100,809"
Pearl Jam,"16,181,893","-4,444",488,"16,271,227"
Scorpions,"16,148,676","14,366",514,"16,575,690"
Jasleen Royal,"16,146,938","-20,914",298,"19,937,199"
Carlos Vives,"16,141,761","-41,645",375,"18,576,958"
Sid Sriram,"16,114,216","-19,889",566,"16,154,388"
De La Rose,"16,106,010","-46,043",385,"19,272,035"
Easykid,"16,084,960","-52,932",558,"16,609,559"
Portugal. The Man,"16,036,894","142,290",590,"16,036,894"
Polo G,"15,994,373","-2,048",170,"24,908,452"
Mazzy Star,"15,989,136","22,732",593,"15,989,136"
Trueno,"15,963,169","10,778",178,"28,176,321"
Latto,"15,934,204","-58,188",74,"38,062,951"
Dolly Parton,"15,833,732","-66,494",245,"26,134,547"
Macklemore & Ryan Lewis,"15,788,525","-67,885",190,"25,456,801"
Lukas Graham,"15,781,027","-32,362",407,"18,243,782"
Weezer,"15,752,417","-8,135",440,"17,441,513"
Young Cister,"15,741,307","-61,510",512,"17,104,142"
Grupo Marca Registrada,"15,732,435","-21,760",264,"22,007,861"
MC Ryan SP,"15,731,415","142,371",349,"19,355,147"
Kimbra,"15,721,530","-8,111",419,"17,862,679"
LISA,"15,712,326","7,026",191,"26,847,435"
Victor Mendivil,"15,704,472","-24,329",587,"15,790,998"
Zedd,"15,700,808","-1,594",317,"17,644,574"
B Praak,"15,687,514","-6,598",366,"19,588,169"
KALEO,"15,673,587","-30,308",471,"17,159,684"
Beach House,"15,659,574","30,292",521,"15,662,039"
Gente De Zona,"15,651,366","-84,655",593,"16,074,661"
Duki,"15,636,938","-30,504",162,"26,492,455"
Tove Lo,"15,616,016","9,369",321,"16,726,850"
Ikky,"15,612,225","15,928",599,"15,612,225"
Benny Dayal,"15,610,569",-248,522,"15,610,817"
Joan Sebastian,"15,570,133","29,108",610,"15,570,133"
Ana Castela,"15,556,074","13,396",324,"20,415,436"
mgk,"15,543,174","-6,349",403,"19,192,009"
Skepta,"15,513,485","67,158",618,"15,513,485"
Calle 24,"15,479,058","-28,080",347,"18,990,432"
Julia Michaels,"15,439,103","-33,211",309,"20,387,752"
Dysbit,"15,436,879","-71,204",595,"16,004,085"
Electric Light Orchestra,"15,423,004","16,680",522,"16,379,175"
Bob Sinclar,"15,418,891","-9,662",436,"18,527,244"
Alesso,"15,404,675","-9,240",259,"21,319,973"
K. S. Chithra,"15,394,612","-48,356",611,"15,624,458"
Duran Duran,"15,371,044","31,592",627,"15,371,044"
Zion,"15,342,444","71,140",628,"15,342,444"
Boney M.,"15,326,728","-21,217",268,"24,770,644"
Rumi,"15,309,286","-14,950",462,"18,029,608"
Ice Cube,"15,292,415","-40,270",325,"18,290,286"
FISHER,"15,269,419","-17,758",382,"19,632,720"
Lenny Kravitz,"15,267,480","-26,548",556,"15,807,646"
Kumar Sanu,"15,243,452","34,681",634,"15,243,452"
