Artist,Listeners,Daily Trend,Peak,PkListeners
Kumaar,"15,740,033","-20,631",316,"17,005,446"
Christina Perri,"15,729,522","99,682",424,"16,831,407"
B Praak,"15,723,369","-9,279",366,"19,588,169"
Sade,"15,688,620","29,429",502,"16,281,103"
David Bowie,"15,668,172","-175,579",317,"20,160,489"
José Feliciano,"15,651,608","592,356",66,"44,646,718"
Muse,"15,579,124","33,103",480,"16,445,948"
Limp Bizkit,"15,578,593","-18,661",468,"16,254,220"
R3HAB,"15,575,122","-58,292",210,"23,584,295"
Chayanne,"15,566,169","-8,860",474,"17,003,813"
Henrique & Juliano,"15,563,636","-5,337",522,"15,937,271"
The Beach Boys,"15,546,836","332,460",161,"29,963,881"
Latto,"15,535,243","-58,337",74,"38,062,951"
Carlos Vives,"15,487,571","14,378",375,"18,576,958"
Jonita Gandhi,"15,481,063","-14,264",337,"18,322,100"
PNAU,"15,461,491","-13,966",220,"22,323,897"
Bob Sinclar,"15,459,041","18,269",436,"17,742,161"
The White Stripes,"15,442,715","12,476",290,"22,483,264"
Paulo Londra,"15,417,373","4,792",401,"16,734,709"
Little Mix,"15,390,539","11,951",287,"19,963,380"
ScHoolboy Q,"15,368,616","-299,164",492,"16,556,015"
The Strokes,"15,368,190","-42,203",423,"17,607,267"
A Boogie Wit da Hoodie,"15,360,274","-28,346",213,"22,882,543"
Kane Brown,"15,354,049","35,674",418,"18,066,809"
Jeremih,"15,351,031","-5,612",527,"15,538,316"
Zedd,"15,319,433","-46,870",317,"17,028,438"
The 1975,"15,303,919","12,950",341,"16,303,938"
KALEO,"15,211,082","111,465",470,"17,159,684"
Addison Rae,"15,200,377","-228,840",450,"17,534,490"
Calle 24,"15,153,589","-40,998",347,"18,990,432"
Grupo Marca Registrada,"15,108,781","1,177",264,"22,007,861"
Morat,"15,080,650","3,830",344,"16,460,184"
Stromae,"15,075,868","803,280",562,"15,075,868"
NewJeans,"15,058,257","-32,230",160,"26,786,050"
Armaan Malik,"15,032,066","30,059",381,"16,761,065"
KISS,"15,000,944","-3,653",475,"15,055,177"
Ana Castela,"14,963,577","-5,018",324,"20,415,436"
Jasleen Royal,"14,929,716","44,685",298,"19,931,406"
